id,brand,year,age,engine_size,power,mileage,prev_owners
id_69977,ford,2017,1,2200,165.0,3356.0,0
id_34287,kia,2008,10,1200,79.0,65389.0,1
id_41069,bmw,2014,4,2300,205.0,72063.0,1
id_40348,bmw,2017,1,4500,357.0,5123.0,0
id_30119,ford,2011,7,1600,112.0,58095.0,2
id_50245,vw,2016,2,1900,153.0,2823.0,1
id_90991,kia,2017,1,800,59.0,9674.0,1
id_48579,bmw,2015,3,3000,268.0,6355.0,1
id_90008,vw,2016,2,3600,263.0,18657.0,0
id_9818,ford,2015,3,2200,154.0,25613.0,0
id_97017,ford,2015,3,3000,211.0,18978.0,1
id_85678,kia,2015,3,800,57.0,30977.0,0
id_29799,kia,2013,5,1000,69.0,409.0,2
id_77175,bmw,2008,10,4500,336.0,39774.0,4
id_96968,ford,2010,8,1600,111.0,8898.0,4
id_35289,bmw,2008,10,4500,332.0,37010.0,1
id_43691,ford,2016,2,1800,135.0,2856.0,0
id_12553,bmw,2010,8,4000,286.0,29777.0,2
id_82269,vw,2014,4,1700,129.0,76949.0,0
id_775,ford,2012,6,2000,143.0,3290.0,2
id_53089,ford,2017,1,2000,149.0,6693.0,0
id_10009,kia,2017,1,1100,83.0,3844.0,1
id_3101,ford,2017,1,1600,123.0,1099.0,1
id_81735,bmw,2011,7,2500,230.0,46941.0,3
id_8367,ford,2010,8,1800,128.0,37214.0,1
id_4254,vw,2008,10,1700,123.0,87558.0,3
id_54777,bmw,2014,4,1800,170.0,67504.0,0
id_19248,ford,2011,7,2000,137.0,40150.0,0
id_19706,vw,2008,10,1700,125.0,112354.0,3
id_8127,vw,2010,8,1900,132.0,4840.0,1
id_6779,ford,2015,3,1100,86.0,22112.0,0
id_71608,vw,2015,3,1900,142.0,25523.0,1
id_53984,ford,2009,9,1800,126.0,31420.0,1
id_69870,vw,2017,1,1500,116.0,110.0,0
id_40323,ford,2016,2,1100,92.0,638.0,0
id_8073,kia,2012,6,1200,81.0,20196.0,1
id_16333,kia,2012,6,1100,76.0,15387.0,1
id_20487,vw,2009,9,1900,132.0,121376.0,2
id_35790,bmw,2010,8,4000,289.0,118374.0,1
id_5481,ford,2009,9,1400,99.0,23080.0,2
id_36147,vw,2015,3,3600,254.0,37817.0,0
id_71961,bmw,2014,4,2500,229.0,15920.0,0
id_10813,ford,2016,2,2500,182.0,5696.0,0
id_70329,ford,2015,3,1400,108.0,10785.0,0
id_70826,vw,2010,8,1200,88.0,102928.0,0
id_36462,ford,2008,10,2200,138.0,141232.0,3
id_31397,ford,2013,5,1800,128.0,10025.0,2
id_730,vw,2008,10,1900,130.0,21870.0,2
id_67714,vw,2016,2,2300,170.0,9575.0,1
id_24255,ford,2017,1,1800,138.0,4929.0,0
id_2430,ford,2013,5,2000,142.0,56183.0,1
id_7188,ford,2014,4,1400,107.0,103827.0,1
id_99194,ford,2011,7,2200,151.0,38110.0,0
id_59426,ford,2016,2,2200,161.0,12897.0,0
id_58434,bmw,2008,10,2300,194.0,11318.0,2
id_98944,vw,2016,2,1900,150.0,30967.0,0
id_40540,ford,2008,10,1600,112.0,58085.0,1
id_15830,ferrari,2014,4,5000,443.0,66681.0,1
id_16551,ford,2014,4,1800,131.0,3489.0,1
id_23481,vw,2012,6,1900,147.0,4224.0,2
id_32093,kia,2016,2,1200,88.0,36139.0,0
id_21625,ford,2016,2,3000,209.0,11796.0,0
id_97803,bmw,2010,8,2300,192.0,84699.0,1
id_85318,vw,2009,9,1900,131.0,44448.0,4
id_17543,ford,2017,1,2000,149.0,1777.0,0
id_70721,bmw,2012,6,4000,304.0,66889.0,1
id_76435,ferrari,2017,1,4500,420.0,350.0,1
id_69727,ford,2013,5,1100,83.0,38948.0,1
id_96323,kia,2014,4,1400,95.0,23700.0,0
id_27400,ford,2015,3,1400,106.0,2294.0,1
id_76422,ford,2012,6,3000,199.0,34283.0,5
id_76016,ford,2017,1,2500,178.0,6241.0,0
id_90729,ford,2009,9,2500,165.0,47548.0,2
id_32600,vw,2008,10,3600,227.0,105771.0,3
id_15856,vw,2010,8,1700,119.0,76877.0,4
id_77187,ford,2012,6,2000,143.0,22923.0,1
id_4755,bmw,2013,5,3500,285.0,877.0,0
id_15300,vw,2016,2,1200,108.0,1508.0,1
id_94541,vw,2012,6,1900,144.0,104228.0,1
id_80202,bmw,2010,8,2300,196.0,17259.0,0
id_47366,vw,2016,2,1200,102.0,11489.0,0
id_31251,vw,2009,9,3600,237.0,8072.0,1
id_90716,ford,2016,2,1400,107.0,8948.0,2
id_4502,ford,2012,6,2500,171.0,67937.0,1
id_23907,bmw,2013,5,2300,200.0,17060.0,1
id_21222,bmw,2008,10,2300,176.0,22454.0,1
id_77923,bmw,2010,8,4000,316.0,132749.0,0
id_56839,ford,2011,7,2200,151.0,18251.0,3
id_96486,ford,2016,2,2200,159.0,11288.0,1
id_34031,ford,2011,7,1400,98.0,34229.0,1
id_66960,bmw,2013,5,3000,230.0,9615.0,0
id_16735,vw,2016,2,2300,173.0,35987.0,0
id_83724,vw,2008,10,1900,139.0,67113.0,2
id_97160,bmw,2011,7,1800,180.0,24379.0,0
id_48444,ford,2011,7,2000,140.0,9824.0,2
id_25464,vw,2017,1,1200,97.0,7739.0,0
id_42783,ford,2015,3,1800,135.0,10584.0,0
id_29602,ford,2013,5,2500,170.0,14723.0,1
id_51756,ford,2014,4,1400,101.0,11128.0,0
id_98013,ferrari,2015,3,4500,420.0,15304.0,0
id_50888,vw,2013,5,2300,161.0,525.0,1
id_5415,ford,2016,2,1400,111.0,5074.0,0
id_817,vw,2008,10,1700,128.0,4864.0,1
id_49127,vw,2016,2,1700,141.0,4086.0,0
id_21452,vw,2012,6,1200,100.0,5380.0,0
id_92782,ford,2016,2,3000,214.0,568.0,1
id_90301,bmw,2015,3,1800,190.0,35397.0,0
id_6298,vw,2014,4,1200,95.0,1723.0,0
id_21215,ford,2017,1,3000,217.0,10455.0,0
id_26092,vw,2015,3,1200,107.0,12319.0,1
id_75932,vw,2013,5,1500,111.0,76148.0,2
id_32347,ford,2009,9,1400,101.0,159289.0,1
id_4320,ford,2009,9,1800,117.0,30879.0,5
id_25971,ford,2009,9,1400,98.0,40062.0,1
id_77579,vw,2011,7,2300,167.0,10846.0,2
id_77487,ford,2008,10,2000,129.0,70181.0,1
id_33972,bmw,2015,3,1800,160.0,10096.0,1
id_23556,vw,2008,10,3600,237.0,27491.0,0
id_88819,vw,2013,5,2300,173.0,62499.0,0
id_41153,vw,2010,8,1900,139.0,47728.0,0
id_23746,bmw,2008,10,4000,303.0,39383.0,3
id_51021,kia,2017,1,1100,79.0,2646.0,0
id_95261,ford,2013,5,2000,140.0,2437.0,1
id_40275,ford,2016,2,1800,134.0,7310.0,1
id_92498,vw,2008,10,1900,134.0,185671.0,2
id_23389,vw,2011,7,1700,122.0,10464.0,3
id_29959,vw,2017,1,1700,142.0,5652.0,0
id_23641,ford,2014,4,2000,143.0,188949.0,0
id_58802,vw,2013,5,2300,169.0,15302.0,2
id_2162,ford,2008,10,1800,120.0,42610.0,2
id_90421,vw,2009,9,3600,242.0,64561.0,1
id_28621,vw,2011,7,1900,134.0,4407.0,0
id_36200,vw,2011,7,3600,249.0,171.0,2
id_52325,bmw,2014,4,2300,192.0,16972.0,0
id_19538,ford,2010,8,1800,124.0,69995.0,0
id_67566,ford,2015,3,2000,141.0,53869.0,0
id_82178,ford,2010,8,1100,85.0,25495.0,3
id_39946,kia,2014,4,1200,86.0,4346.0,0
id_91449,vw,2015,3,2300,176.0,8990.0,0
id_13142,ferrari,2016,2,3600,399.0,1851.0,0
id_60276,vw,2013,5,1200,103.0,23231.0,0
id_89690,bmw,2015,3,4500,356.0,7464.0,0
id_14487,vw,2014,4,3600,248.0,16258.0,2
id_44846,vw,2015,3,1700,134.0,9187.0,0
id_56495,ford,2014,4,1100,84.0,41638.0,0
id_40941,ford,2015,3,1400,105.0,25882.0,1
id_49371,vw,2012,6,1900,138.0,24093.0,2
id_81706,bmw,2010,8,2500,205.0,5476.0,2
id_37574,ford,2010,8,2500,164.0,33929.0,1
id_74833,kia,2009,9,1000,69.0,39855.0,0
id_86697,ford,2008,10,1800,120.0,98853.0,3
id_73007,kia,2016,2,1400,101.0,19410.0,0
id_23936,vw,2012,6,2300,158.0,11507.0,0
id_46344,bmw,2012,6,1800,183.0,44531.0,0
id_54066,ford,2015,3,2500,177.0,25827.0,3
id_6452,ford,2011,7,2500,164.0,10264.0,3
id_31628,ford,2011,7,2200,151.0,21721.0,2
id_32781,vw,2008,10,1500,107.0,48520.0,2
id_90588,ford,2017,1,2200,166.0,8720.0,0
id_63662,ford,2009,9,3000,193.0,48125.0,1
id_99373,kia,2010,8,1100,73.0,43404.0,2
id_13129,ford,2011,7,2200,148.0,1246.0,3
id_90722,bmw,2012,6,2300,217.0,8744.0,0
id_54818,vw,2009,9,1900,128.0,11455.0,4
id_16468,kia,2016,2,1400,101.0,5626.0,0
id_80631,kia,2016,2,1000,71.0,12378.0,0
id_23085,vw,2016,2,3600,267.0,10428.0,0
id_80897,vw,2017,1,1200,103.0,562.0,0
id_97005,ford,2015,3,1400,104.0,45610.0,4
id_70984,ford,2016,2,2200,158.0,7283.0,2
id_99977,ford,2008,10,2200,144.0,59770.0,1
id_66524,vw,2013,5,1500,121.0,23140.0,0
id_54490,bmw,2017,1,3000,256.0,1153.0,0
id_77543,bmw,2015,3,4000,321.0,63077.0,0
id_98338,ford,2016,2,3000,210.0,17825.0,1
id_14061,vw,2012,6,1200,93.0,44836.0,1
id_64684,kia,2016,2,1400,102.0,5220.0,1
id_42473,ford,2012,6,2200,154.0,14766.0,0
id_51559,vw,2008,10,2300,160.0,24462.0,1
id_26572,ford,2013,5,1400,100.0,1476.0,0
id_45368,kia,2011,7,1100,76.0,4879.0,3
id_86614,ford,2015,3,1600,118.0,728.0,0
id_9221,vw,2014,4,1700,138.0,2625.0,1
id_49415,ford,2008,10,1800,122.0,260995.0,1
id_63773,ford,2016,2,2000,142.0,2436.0,0
id_45122,vw,2014,4,1500,113.0,13307.0,2
id_66052,ford,2014,4,1600,118.0,26576.0,1
id_59271,vw,2013,5,2300,164.0,5482.0,1
id_11753,ford,2008,10,1100,78.0,64260.0,3
id_5364,vw,2011,7,1200,99.0,75796.0,3
id_13092,ford,2010,8,2200,149.0,12942.0,2
id_8574,ford,2011,7,1600,109.0,11768.0,1
id_55381,bmw,2016,2,3500,311.0,6173.0,1
id_7231,bmw,2015,3,2300,200.0,36366.0,1
id_48352,ford,2009,9,2500,159.0,31343.0,4
id_69956,vw,2015,3,3600,251.0,36019.0,0
id_54527,ford,2008,10,3000,185.0,9036.0,1
id_24315,vw,2010,8,3600,234.0,48428.0,1
id_25928,ford,2008,10,2500,160.0,92730.0,3
id_9849,vw,2011,7,1700,125.0,108805.0,0
id_93356,ford,2017,1,2200,167.0,23570.0,0
id_59567,bmw,2010,8,4000,300.0,17144.0,3
id_9167,vw,2016,2,1500,124.0,32098.0,2
id_28077,ford,2015,3,1800,127.0,7405.0,1
id_16842,bmw,2014,4,4500,346.0,10964.0,0
id_49576,kia,2017,1,1400,100.0,5294.0,1
id_18078,vw,2015,3,2300,178.0,30069.0,0
id_6981,kia,2015,3,800,61.0,7955.0,1
id_15348,bmw,2015,3,2300,226.0,11893.0,2
id_92287,vw,2016,2,2300,175.0,2216.0,2
id_70734,bmw,2009,9,3500,269.0,70734.0,1
id_12817,ford,2009,9,1100,77.0,3464.0,0
id_89713,ford,2013,5,2500,170.0,98618.0,2
id_65388,ford,2012,6,2000,135.0,1655.0,1
id_56618,vw,2016,2,2300,172.0,1102.0,0
id_9741,ford,2009,9,1100,82.0,67859.0,1
id_71504,bmw,2016,2,3500,292.0,29593.0,0
id_43591,vw,2008,10,1900,139.0,3726.0,4
id_23464,bmw,2013,5,3500,277.0,51928.0,1
id_11357,ford,2017,1,2000,146.0,10037.0,0
id_48343,vw,2012,6,2300,171.0,143080.0,1
id_39285,ford,2016,2,1400,104.0,11226.0,0
id_23458,vw,2015,3,1700,131.0,26104.0,0
id_85137,ford,2017,1,1600,126.0,946.0,0
id_79627,vw,2009,9,1200,95.0,111013.0,1
id_75206,ford,2010,8,1800,124.0,51460.0,0
id_42941,vw,2016,2,1500,125.0,19018.0,1
id_25307,kia,2013,5,800,57.0,21372.0,1
id_22830,ford,2013,5,1800,129.0,20740.0,3
id_77296,ford,2017,1,2000,145.0,52.0,0
id_97184,kia,2008,10,1200,77.0,2524.0,1
id_46275,ford,2008,10,2500,160.0,38315.0,3
id_7946,bmw,2014,4,2300,227.0,4710.0,0
id_93449,bmw,2014,4,3500,298.0,25255.0,2
id_73069,ford,2016,2,1800,133.0,22203.0,0
id_58893,bmw,2010,8,2300,194.0,10774.0,0
id_69197,vw,2013,5,2300,161.0,5940.0,1
id_19012,bmw,2011,7,3500,291.0,11279.0,3
id_2747,bmw,2016,2,2300,193.0,371.0,0
id_81005,vw,2016,2,1900,150.0,24295.0,0
id_91954,ford,2008,10,1800,121.0,112156.0,1
id_28435,ford,2013,5,1400,106.0,62533.0,1
id_54773,ford,2015,3,1800,136.0,23759.0,0
id_44103,bmw,2008,10,3000,234.0,61193.0,3
id_25044,ford,2017,1,1600,125.0,4801.0,0
id_95680,ford,2012,6,1600,112.0,21704.0,0
id_59961,ford,2011,7,1400,103.0,88205.0,1
id_52117,ford,2008,10,1600,112.0,99127.0,1
id_45854,vw,2014,4,1900,142.0,27418.0,0
id_65414,ford,2008,10,2200,145.0,45288.0,1
id_84638,vw,2016,2,2300,171.0,3101.0,0
id_38775,bmw,2016,2,3000,261.0,10996.0,0
id_44358,ford,2017,1,2200,163.0,3518.0,0
id_2213,bmw,2013,5,3500,261.0,16449.0,2
id_58908,vw,2010,8,3600,237.0,27534.0,0
id_27279,ford,2017,1,3000,216.0,181.0,0
id_99645,vw,2009,9,1700,127.0,217305.0,4
id_34135,kia,2009,9,800,54.0,29988.0,1
id_96584,ford,2010,8,2500,164.0,135373.0,0
id_86020,bmw,2016,2,4000,325.0,5.0,0
id_81036,vw,2009,9,1700,124.0,85327.0,1
id_82813,ford,2013,5,2000,140.0,57746.0,1
id_19044,vw,2012,6,1500,114.0,56973.0,4
id_1261,ford,2014,4,1400,102.0,18852.0,1
id_88381,ford,2008,10,3000,191.0,4156.0,2
id_47824,vw,2013,5,3600,248.0,3328.0,1
id_61868,ford,2013,5,2500,169.0,34845.0,0
id_87991,vw,2014,4,3600,258.0,1607.0,2
id_10566,bmw,2012,6,2500,220.0,29190.0,1
id_44488,ford,2013,5,2500,173.0,2293.0,0
id_60533,bmw,2016,2,4000,325.0,7492.0,0
id_68605,ford,2010,8,1600,109.0,14957.0,0
id_62582,kia,2017,1,1200,89.0,10383.0,0
id_72523,vw,2013,5,1500,110.0,4631.0,3
id_5726,ford,2010,8,3000,198.0,67532.0,2
id_69536,bmw,2013,5,3000,232.0,3235.0,0
id_35689,vw,2013,5,3600,249.0,9400.0,1
id_55642,kia,2008,10,800,52.0,51595.0,2
id_62636,vw,2014,4,1200,101.0,25803.0,1
id_72818,ford,2012,6,1400,103.0,29484.0,0
id_60471,ford,2011,7,2200,152.0,13753.0,3
id_13556,ford,2017,1,2200,158.0,32920.0,0
id_35368,ford,2012,6,3000,196.0,4627.0,1
id_56382,ford,2010,8,2200,144.0,64801.0,6
id_85878,ford,2009,9,2500,164.0,3563.0,1
id_56509,bmw,2011,7,2300,187.0,84375.0,3
id_19801,bmw,2014,4,4000,318.0,4437.0,0
id_36187,bmw,2014,4,4000,299.0,16015.0,0
id_82868,ford,2010,8,1400,94.0,17573.0,2
id_45,bmw,2008,10,3000,233.0,248699.0,0
id_8410,kia,2012,6,800,57.0,17292.0,1
id_30129,vw,2016,2,1500,120.0,12152.0,1
id_46657,kia,2016,2,1200,88.0,6.0,0
id_10548,vw,2008,10,1200,99.0,35179.0,1
id_10747,bmw,2011,7,1800,188.0,4438.0,1
id_29706,bmw,2010,8,4000,316.0,53634.0,0
id_37740,bmw,2012,6,4000,299.0,18435.0,2
id_80191,ford,2008,10,2000,136.0,85608.0,6
id_41137,vw,2008,10,1900,138.0,43257.0,1
id_68849,kia,2017,1,1200,88.0,5221.0,0
id_18130,ford,2017,1,2200,165.0,5246.0,1
id_97722,ford,2010,8,1600,114.0,22030.0,6
id_57553,kia,2013,5,1100,77.0,71044.0,1
id_41915,vw,2011,7,1200,97.0,3198.0,0
id_93447,ford,2011,7,1400,96.0,43467.0,3
id_77783,vw,2012,6,2300,168.0,1017.0,0
id_60091,vw,2009,9,1200,86.0,93960.0,1
id_89503,ford,2008,10,1400,97.0,5778.0,1
id_76269,ford,2012,6,1800,128.0,6528.0,1
id_5302,ford,2013,5,2500,174.0,1817.0,1
