id,value
id_19582,10224
id_98283,7712
id_76493,8960
id_85656,1648
id_8053,3904
id_32766,8688
id_92020,-4704
id_63450,14048
id_21959,5664
id_21048,23200
id_53236,9056
id_90454,3632
id_59070,19360
id_10504,-2656
id_95619,5088
id_60398,3904
id_64743,9888
id_86067,11296
id_11123,5280
id_74601,-3728
id_39715,5008
id_62326,75136
id_21225,68352
id_33855,6016
id_47148,7776
id_5750,1088
id_71965,12128
id_30623,7840
id_33600,12368
id_81348,1280
id_59200,7600
id_55946,19136
id_15433,8352
id_87620,-640
id_61935,4672
id_74045,10144
id_96986,9952
id_94748,3744
id_68574,8576
id_69152,5824
id_19210,14976
id_98912,1696
id_9211,1120
id_42142,11024
id_82973,75088
id_41322,4608
id_26874,560
id_25909,2688
id_21751,6560
id_23690,1536
id_57607,5408
id_85589,9920
id_32935,9344
id_86385,3664
id_94323,1664
id_84859,6784
id_32865,6032
id_98666,75744
id_87944,1824
id_18125,15488
id_68704,10400
id_46865,8672
id_18304,1120
id_12258,6016
id_65036,1344
id_43188,-9600
id_70591,5248
id_60165,8528
id_25842,1184
id_56389,17184
id_88983,-576
id_37188,6048
id_21112,576
id_4358,-1664
id_31924,3360
id_39627,12448
id_96034,15168
id_3357,15296
id_58855,8128
id_98397,19328
id_63934,7040
id_69753,7168
id_77011,3808
id_54555,4720
id_65032,6848
id_32224,10496
id_84423,9744
id_99928,21504
id_37348,15232
id_53623,8224
id_15968,-896
id_2469,5664
id_20673,22848
id_24600,8064
id_9786,-2048
id_75361,16224
id_27460,15840
id_11552,14976
id_21775,14976
id_68146,3296
id_46521,9872
id_36341,2496
id_84153,10016
id_76686,15744
id_24131,9104
id_63933,4864
id_40725,10432
id_85146,3392
id_20294,-1600
id_37854,18336
id_17813,-4736
id_6608,9648
id_6836,17440
id_23550,288
id_75740,5312
id_79599,12128
id_2310,11200
id_28717,4272
id_66157,70320
id_99632,10208
id_65287,15488
id_51729,20368
id_33807,3888
id_71575,7488
id_14012,9648
id_20724,560
id_30348,8672
id_33726,4224
id_63632,18560
id_50675,7520
id_12499,6544
id_55391,4736
id_57434,6256
id_39409,-1312
id_89910,4560
id_38184,64
id_78661,12976
id_24859,13088
id_97925,12736
id_99047,5472
id_94325,7264
id_61303,13344
id_97033,-3104
id_33989,11424
id_9219,13632
id_49648,6160
id_54697,32
id_1102,16224
id_23691,1536
id_94279,18320
id_95857,6688
id_71685,5024
id_92526,11424
id_674,5792
id_2347,-3712
id_99976,4416
id_24684,8512
id_99305,9760
id_2786,2544
id_41593,5008
id_18545,14400
id_51291,23712
id_25086,4416
id_83544,3408
id_97714,2048
id_47685,6752
id_13079,14384
id_76610,560
id_63509,13648
id_82694,-1712
id_3311,12992
id_79094,10208
id_40364,16800
id_78204,5856
id_84591,13840
id_43612,3600
id_40254,5088
id_446,21152
id_76964,4080
id_19146,7248
id_99500,4432
id_49334,15360
id_46486,9488
id_51563,800
id_92862,7872
id_13543,20256
id_54725,16448
id_21423,5584
id_61677,14464
id_94384,11040
id_43020,4512
id_18021,-1312
id_2806,2944
id_14308,4864
id_61709,7072
id_26942,896
id_45356,288
id_7390,5024
id_88025,-5792
id_60103,2528
id_8384,4960
id_485,7072
id_91031,14112
id_56977,-384
id_67895,4320
id_12525,4624
id_56827,70832
id_77255,21792
id_8528,5888
id_38784,12288
id_42971,6240
id_74746,18240
id_55646,10656
id_90319,14816
id_32467,17920
id_89907,17056
id_94624,-256
id_38157,256
id_50696,8384
id_44607,19008
id_59114,-1424
id_78439,9952
id_73099,3040
id_71247,12112
id_94248,11488
id_11609,13728
id_20228,2784
id_87972,2560
id_26057,4576
id_28798,19872
id_80773,9312
id_14305,13408
id_47518,11216
id_98749,1056
id_25725,9088
id_76775,-2368
id_89626,4736
id_28138,15456
id_67983,-10912
id_68785,5120
id_22985,5536
id_87758,22016
id_31493,-3296
id_62496,7840
id_36239,11104
id_31289,13824
id_52340,-224
id_79841,85312
id_12207,-3472
id_94437,8352
id_58707,-3840
id_92329,3552
id_40428,-32
id_44305,6944
id_41444,9984
id_96317,8688
id_82310,7456
id_57539,2176
id_93376,8384
id_5632,11232
id_33279,10624
id_45526,6880
id_18369,-5440
id_93294,17216
id_86159,5920
id_67583,7360
id_39562,8096
id_2128,4128
id_73574,4480
id_77823,8960
id_584,4416
id_30236,7008
id_12955,11936
id_90390,8800
id_65393,-1392
id_56883,5600
id_95497,3968
id_20657,9840
id_42693,6480
id_62306,5728
id_67549,14432
id_68487,5632
id_84586,2048
id_12334,15536
id_45631,16512
id_88676,3184
id_59792,8064
id_40788,11248
id_58928,-656
id_16967,4464
id_56871,1600
id_27663,13424
id_48374,4784
id_46165,4512
id_94784,11296
id_98888,6304
id_23562,7680
id_68553,11072
id_15828,10016
id_29617,22048
id_843,17728
id_5409,12352
id_18990,75104
id_58110,896
id_74979,20992
id_67992,6880
id_19180,4880
id_41314,1408
id_43895,10496
id_91992,2912
id_9232,4960
id_70135,-3616
id_3197,2304
id_34026,160
id_48026,4624
id_24877,-1792
id_80979,10208
id_61808,2496
id_8047,11408
id_88606,16064
id_76336,14976
id_1163,12880
id_68354,2944
id_88024,6080
id_67935,75120
id_62133,1632
id_46694,-9536
id_36962,9056
id_62068,6464
id_3995,3104
id_38956,208
id_73051,12256
id_52780,7808
id_61490,7392
id_48003,12288
id_79584,6336
id_18762,8160
id_91017,-2880
id_13409,6336
id_17871,-4128
id_34578,7008
id_58945,2912
id_22111,5312
id_11163,25856
id_59802,4048
id_1398,1216
id_48122,10144
id_35070,4768
id_71342,14720
id_63346,1152
id_22632,-320
id_5894,8928
id_85190,5040
id_10186,1600
id_707,2144
id_10194,13568
id_4874,10432
id_52530,7072
id_14965,12736
id_24041,5568
id_54078,15072
id_83993,9728
id_51536,-3296
id_95176,-416
id_85181,13088
id_80011,6144
id_77692,3216
id_57602,4704
id_93774,12176
id_8175,4032
id_29837,20832
id_51857,8544
id_31410,1072
id_44083,4672
id_63834,4064
id_32112,9120
id_24768,-2016
id_46764,10912
id_91399,11904
id_39094,9600
id_55476,7936
id_25462,8224
id_8920,-480
id_2260,15264
id_23420,11536
id_56909,13088
id_30487,2720
id_6581,2912
id_36832,9728
id_30764,12672
id_87420,5152
id_88151,11952
id_90478,11264
id_91473,19520
id_28457,11744
id_21190,9440
id_46337,7392
id_69320,6848
id_48940,7872
id_5781,8656
id_53201,22432
id_40845,4624
id_18646,5376
id_44803,5216
id_25580,12992
id_99190,-3040
id_39798,6176
id_70072,29472
id_50648,2912
id_67787,9856
id_59596,18336
id_88721,19904
id_75432,11744
id_92217,8128
id_20408,3296
id_24676,5120
id_83462,11616
id_30280,3488
id_91177,12672
id_18192,1568
id_16521,10112
id_95815,2576
id_7869,6560
id_98148,10496
id_92392,12960
id_46314,5776
id_12348,-2032
id_64039,2688
id_20520,4832
id_3609,12320
id_38358,11616
id_81501,-1376
id_45540,12544
id_36206,11072
id_18845,9504
id_39475,8416
id_35999,5056
id_24825,7776
id_82853,10384
id_35985,6064
id_208,5280
id_34762,6096
id_69230,2080
id_7841,1312
id_63932,10912
id_79553,-1280
id_91333,15136
id_45389,6064
id_23840,7152
id_46320,8576
id_25876,16544
id_39172,11168
id_39050,7264
id_95795,5520
id_32512,12576
id_65438,21216
id_55446,7504
id_78387,10976
id_85670,896
id_26229,16608
id_24121,8608
id_1070,11584
id_89241,672
id_34724,15360
id_93739,13952
id_27657,3200
id_91874,1664
id_28591,6880
id_20455,9296
id_76334,7728
id_63460,9088
id_63879,10496
id_72904,-832
id_34739,13440
id_78800,2656
id_56372,16
id_72145,5888
id_14566,3712
id_2962,2880
id_43252,5280
id_83167,2000
id_44990,12864
id_29058,1248
id_18935,-256
id_80034,12448
id_1072,11360
id_40612,4672
id_89434,11968
id_15974,13056
id_7633,10768
id_58047,-4336
id_35409,5856
id_35087,9216
id_46147,15424
id_89206,5952
id_18774,1280
id_74278,16112
id_44602,4352
id_52964,2880
id_63451,5632
id_6174,15648
id_42254,83792
id_74475,8160
id_22214,3776
id_561,2176
id_71597,-4064
id_77691,10416
id_61099,5280
id_73552,17504
id_99430,1632
id_51547,2464
id_19016,7744
id_81571,4400
id_62789,4352
id_19133,2816
id_39967,-48
id_59980,95712
id_36952,6688
id_16586,11808
id_5957,11456
id_26051,3088
id_82654,13696
id_34776,9696
id_88591,7264
id_49826,78112
id_61354,12736
id_93270,6752
id_48092,12832
id_75645,3712
id_11225,85856
id_12234,-864
id_6755,16608
id_65739,10112
id_15867,5696
id_1591,7664
id_73029,86896
id_36432,2560
id_62315,11200
id_38160,4992
id_56248,68448
id_4210,4720
id_19092,6208
id_26894,10992
id_7577,8112
id_92014,18080
id_93284,1664
id_43817,5856
id_27091,8848
id_89444,9920
id_18925,-672
id_71510,10208
id_42444,7120
id_52660,7840
id_56801,9648
id_4253,5472
id_36051,6880
id_56907,7840
id_36590,10688
id_91951,-128
id_21882,3840
id_1127,4224
id_63364,-8608
id_49351,2272
id_11133,14176
id_58833,-5120
id_29853,19296
id_98534,4640
id_91797,304
id_87643,-928
id_61405,-288
id_88081,23136
id_82425,7392
id_32317,12496
id_63953,-1936
id_93296,5248
id_88979,6304
id_55052,10784
id_20100,7936
id_90639,6880
id_93629,-1536
id_20968,2592
id_25349,12176
id_3032,6832
id_61676,16768
id_60896,14944
id_55783,4896
id_70150,6016
id_60658,6976
id_14688,9120
id_24289,6400
id_25982,11312
id_89460,6624
id_71877,8704
id_66242,6944
id_75099,7664
id_23128,21248
id_38282,-1056
id_23582,2368
id_13240,7968
id_3920,3392
id_1811,10896
id_57833,16576
id_27884,6992
id_27801,2080
id_14651,4320
id_51923,6880
id_5712,5600
id_55241,9648
id_11597,320
id_22770,7408
id_96832,7104
id_69392,-576
id_87981,8064
id_75866,1952
id_69072,11808
id_13835,1696
id_10989,2560
id_77449,-512
id_56296,11424
id_25363,17664
id_93499,1664
id_56735,-768
id_17258,8288
id_82596,10816
id_18971,-64
id_75034,11264
id_24279,23296
id_92758,8576
id_41373,11936
id_19029,11584
id_62714,5920
id_26510,14096
id_78708,7824
id_23925,15744
id_92615,12832
id_35651,-1376
id_79182,4496
id_66747,9008
id_22033,22848
id_8218,14496
id_26382,6112
id_23177,7424
id_7056,9392
id_61082,13696
id_14821,-3648
id_61791,5248
id_76154,13824
id_59939,5536
id_46156,4448
id_21741,1600
id_31759,12224
id_81603,13728
id_53974,4432
id_44765,1568
id_29338,23104
id_46270,14592
id_40519,26880
id_41840,3712
id_72589,3136
id_63914,5920
id_91235,10976
id_9155,16896
id_56209,5568
id_84022,84480
id_70596,4288
id_68374,2624
id_69079,14624
id_56750,7296
id_60761,9184
id_32308,1632
id_38736,10912
id_24976,704
id_71839,-608
id_72695,17664
id_59580,-256
id_7571,-1152
id_78159,13952
id_56659,14544
id_93493,6704
id_4497,2368
id_65549,69968
id_62733,12736
id_10806,7424
id_42409,18048
id_7088,1568
id_69530,7072
id_2502,7424
id_60121,11744
id_66667,4480
id_62065,2176
id_49314,1648
id_31430,2208
id_67667,-1984
id_39360,10784
id_32335,6592
id_3278,14144
id_55567,9440
id_27334,14848
id_54620,4416
id_50805,2592
id_27019,1184
id_94339,1856
id_29093,10080
id_97040,512
id_73453,20128
id_12153,14784
id_63391,7808
id_86505,7488
id_6885,11056
id_41609,11152
id_28398,864
id_63044,2816
id_89921,12704
id_68623,512
id_55569,8608
id_94836,4192
id_91058,-272
id_6721,13568
id_59011,368
id_53150,864
id_22424,85232
id_41898,2848
id_44827,11536
id_34823,17728
id_84206,4944
id_74576,13136
id_64125,9312
id_50355,6624
id_4531,-2688
id_70184,6464
id_3733,10272
id_8157,7840
id_9139,1520
id_53708,10064
id_34384,8400
id_41732,12784
id_18501,9152
id_4123,-768
id_64412,2208
id_57337,10112
id_37511,9024
id_78652,5008
id_70563,3152
id_52296,-160
id_2186,4960
id_51426,5568
id_4411,5616
id_17644,11120
id_3615,-2112
id_25800,-2672
id_83872,19072
id_28225,76208
id_57909,8480
id_14009,5920
id_70820,-4144
id_22669,5632
id_81415,13904
id_89294,9472
id_82935,15360
id_51877,4880
id_59898,17568
id_50474,6208
id_20400,256
id_68941,2592
id_16176,18976
id_60237,9152
id_62363,5408
id_18085,-5024
id_72504,4448
id_65969,5728
id_8511,-736
id_47894,9504
id_19955,4480
id_82367,9664
id_24090,7072
id_94972,2384
id_77790,15872
id_12775,83328
id_90065,8736
id_69096,5872
id_42190,11664
id_41890,-4736
id_48406,-3104
id_27543,11936
id_96177,8224
id_74245,-800
id_68571,11648
id_57373,6240
id_64373,9600
id_41356,5728
id_43637,10512
id_36176,8576
id_77674,12752
id_49489,4368
id_30835,15168
id_69649,3552
id_73880,6368
id_46219,8896
id_95914,5664
id_84262,5264
id_74470,4992
id_36890,-3088
id_69551,224
id_32029,-11328
id_28928,4288
id_91707,8384
id_16157,6624
id_65776,12096
id_53269,10656
id_68796,5536
id_95794,3968
id_91440,5984
id_58175,-1440
id_75194,73392
id_69409,8928
id_74915,11088
id_36920,5552
id_49482,1136
id_961,9504
id_12139,6544
id_95368,10272
id_47426,15216
id_20825,2000
id_35531,-7168
id_61195,9920
id_99651,1120
id_3127,3168
id_12995,9280
id_71505,7904
id_88558,-2336
id_83857,15040
id_20194,16592
id_56455,4432
id_86078,-288
id_37052,9280
id_68655,8160
id_28062,9920
id_70098,5824
id_92521,-1568
id_6410,6784
id_30010,9408
id_26349,544
id_19083,7040
id_83234,11648
id_9510,8112
id_22997,8128
id_83884,7552
id_83889,5280
id_47385,11520
id_4260,6016
id_37633,1728
id_33505,13984
id_52388,9552
id_58999,6480
id_63572,9056
id_84652,7648
id_96301,10064
id_48958,8288
id_94499,11264
id_2604,4640
id_21421,-3616
id_74407,2000
id_41728,10128
id_77320,6560
id_13119,6720
id_32,1728
id_7442,6960
id_81491,15184
id_43348,14880
id_3309,18784
id_64406,15088
id_41433,11520
id_55817,19712
id_58674,8992
id_7394,12640
id_89079,18112
id_84076,6592
id_54415,12000
id_30895,11776
id_37018,20608
id_60591,15776
id_64203,7520
id_33023,8816
id_31035,848
id_74559,-4960
id_28307,6624
id_45106,14976
id_52174,10368
id_25754,3632
id_17628,3616
id_10028,11840
id_609,-2464
id_62614,7392
id_31349,9600
id_20168,14944
id_97449,4512
id_42388,13440
id_78040,4272
id_8208,2560
id_55690,6752
id_63043,3424
id_2753,3520
id_40081,-160
id_8846,7936
id_39397,9920
id_96734,15648
id_70530,7616
id_87299,-256
id_4562,17920
id_31435,8608
id_57851,-2976
id_26765,10848
id_40966,10192
id_87707,6080
id_19469,7552
id_17347,7712
id_16580,10272
id_58261,17408
id_56224,15232
id_81001,7488
id_88790,-2144
id_69374,8048
id_10003,4320
id_72106,16672
id_75526,-992
id_16671,11552
id_51379,9952
id_17941,2464
id_59450,6288
id_72356,4560
id_63516,18016
id_68347,4832
id_67799,8704
id_80400,1184
id_21242,5376
id_95260,4512
id_82182,1840
id_16737,4992
id_80253,11264
id_88928,4896
id_93370,79984
id_84968,-4256
id_32234,3168
id_6031,2832
id_58319,9664
id_89440,4320
id_78384,9072
id_52197,-928
id_38408,5504
id_71287,12896
id_40691,-416
id_98960,7040
id_83422,-3456
id_83198,14976
id_33094,3584
id_84301,1696
id_44322,18816
id_482,6032
id_10841,-1632
id_21138,-4320
id_28701,9792
id_5503,-2944
id_77916,15840
id_92929,26784
id_6654,2272
id_13476,13856
id_74769,-2592
id_51361,3600
id_24340,-1888
id_67873,-1504
id_48853,96368
id_27828,8768
id_16736,1024
id_16252,90656
id_41661,10432
id_56162,2576
id_78352,448
id_92441,7072
id_40782,7072
id_52421,10352
id_12029,5184
id_27771,2016
id_83750,6864
id_90807,15296
id_59420,14944
id_91736,13280
id_93647,11200
id_7895,7200
id_42737,11072
id_30178,6560
id_47770,10528
id_25487,13088
id_37114,-1776
id_32360,11296
id_74308,5216
id_40045,7376
id_59284,20864
id_88966,6784
id_50353,15840
id_50663,13568
id_73978,11872
id_38180,18112
id_87095,8576
id_48285,9360
id_61796,5856
id_28993,12096
id_19643,6016
id_39559,9792
id_91415,-7904
id_16111,6704
id_14640,-1600
id_57764,4480
id_43959,5424
id_7496,2832
id_22260,12288
id_26899,9792
id_86238,1184
id_39018,4576
id_31882,14608
id_64994,4288
id_68821,18656
id_80254,-4864
id_26783,7872
id_28005,784
id_57248,9520
id_35832,5632
id_93890,19776
id_36245,6272
id_87004,11120
id_40994,352
id_79401,20192
id_33689,8960
id_896,13680
id_34765,8000
id_71591,7152
id_2646,9920
id_81091,12608
id_82354,14208
id_57264,8448
id_8328,-1424
id_65269,9360
id_73989,7968
id_81551,84896
id_43435,4000
id_5086,624
id_71953,8608
id_24063,9648
id_2790,4784
id_77603,2976
id_91910,6736
id_498,5680
id_68982,-4032
id_60477,24992
id_83129,7136
id_77814,16272
id_5447,16544
id_91053,7328
id_74906,8416
id_21604,9056
id_64823,13264
id_62896,-2048
id_11619,1952
id_17446,10304
id_3438,8192
id_3728,12544
id_93448,7936
id_4997,2944
id_73646,8192
id_44244,12864
id_6007,6464
id_69694,-1248
id_10848,9376
id_11282,9312
id_67295,89376
id_35818,15232
id_46502,4368
id_12203,11328
id_95700,1056
id_97582,9024
id_79304,15744
id_18909,5600
id_36274,6592
id_30777,-992
id_6576,7712
id_3642,3808
id_89010,11296
id_92578,1024
id_36722,12640
id_4096,-4256
id_98406,8224
id_94005,13296
id_52431,8512
id_8167,5280
id_47024,2112
id_47016,12160
id_46748,6624
id_75582,5408
id_81238,5184
id_17711,4320
id_31324,5520
id_35267,6976
id_71665,14144
id_76678,77344
id_82576,5408
id_43926,13888
id_22,2848
id_18398,10336
id_59281,10160
id_2036,9728
id_94195,9536
id_12801,3600
id_95592,11392
id_59597,768
id_61299,13728
id_94485,-1648
id_81956,-512
id_82689,2496
id_7453,2816
id_43594,5984
id_16086,13376
id_76132,5568
id_15912,672
id_71552,544
id_85156,5536
id_64260,7008
id_77128,7904
id_50401,1840
id_28189,2400
id_20767,-3712
id_82631,-3072
id_85600,12704
id_25849,3456
id_515,3600
id_9389,9504
id_48713,11520
id_23715,8672
id_84840,19296
id_58645,6912
id_64706,-1104
id_29826,8896
id_60404,7776
id_20333,7648
id_48526,7456
id_98673,14016
id_63356,1920
id_87151,5536
id_99184,5888
id_58125,17456
id_81178,5344
id_98789,15616
id_16043,2272
id_55266,3840
id_56490,3120
id_53507,-1824
id_37659,6880
id_82109,5504
id_64069,83472
id_86169,3616
id_473,768
id_83053,7568
id_21727,21952
id_47078,5696
id_94630,-544
id_31511,12512
id_19005,6464
id_78805,5312
id_4987,7744
id_58920,9472
id_8387,92304
id_20476,9152
id_25563,-4160
id_28473,15648
id_90653,7360
id_75054,5152
id_84967,18016
id_55084,12064
id_23417,1824
id_64984,-1120
id_52419,77712
id_29014,6592
id_77264,17664
id_61862,-1424
id_5268,14688
id_53678,7392
id_2989,21984
id_64816,5232
id_62926,2144
id_81465,-4192
id_8782,12016
id_34741,4304
id_37384,2608
id_36186,4592
id_8697,7984
id_85158,3520
id_78613,8640
id_32651,12080
id_41981,7984
id_75486,10064
id_58063,7296
id_45217,2880
id_58439,1280
id_75289,656
id_29575,5216
id_25089,2592
id_51623,16416
id_82978,18688
id_83216,13392
id_42153,1472
id_65959,8912
id_54291,16544
id_79029,14880
id_74775,976
id_52076,19520
id_9841,3392
id_40266,20608
id_46886,1648
id_74935,5152
id_51834,9184
id_11946,9136
id_94477,19648
id_23222,1216
id_67408,-2752
id_98662,12400
id_58344,10368
id_63468,14352
id_98011,8000
id_55572,5472
id_41754,5440
id_75654,3168
id_29210,4288
id_74750,22432
id_78784,7232
id_82549,7616
id_53157,10320
id_83001,8000
id_40173,11904
id_90698,6448
id_81594,14256
id_58903,8592
id_46880,10176
id_10534,10832
id_65534,11808
id_21996,3584
id_74508,11936
id_50138,11808
id_56962,11376
id_5071,384
id_81495,7824
id_49089,1408
id_53619,-2368
id_98694,-3872
id_22301,3104
id_42256,9504
id_38676,9568
id_26964,12048
id_57578,1952
id_54561,3696
id_29517,2720
id_76429,7936
id_20823,10880
id_96923,7136
id_82958,5504
id_17461,2752
id_63488,21472
id_95605,7760
id_13668,2976
id_73708,18800
id_43242,-3552
id_20656,61776
id_74732,12688
id_13148,23296
id_75188,7792
id_33132,2992
id_38215,9696
id_15682,1440
id_8714,8608
id_4605,11936
id_78152,8688
id_56585,5792
id_30425,8256
id_4843,13856
id_67529,4032
id_97072,88064
id_95154,14336
id_57141,2976
id_55239,160
id_68815,5280
id_94479,7488
id_13669,6080
id_88423,-1312
id_42926,3584
id_44104,-5984
id_49568,1472
id_76962,16416
id_31431,12896
id_70918,1984
id_55490,8896
id_98746,7728
id_32586,11232
id_91106,14784
id_91264,8224
id_59088,4768
id_23115,5440
id_73943,13200
id_44619,-1984
id_64312,9216
id_18213,18272
id_70166,12224
id_60788,6272
id_81190,3552
id_6655,7536
id_38080,4480
id_66868,6656
id_93920,2688
id_1759,-3136
id_54973,4736
id_94221,-672
id_6924,5632
id_21960,1568
id_24875,6784
id_50392,4880
id_66708,8928
id_13374,11360
id_20384,7776
id_71386,7392
id_51142,13008
id_91293,13824
id_39264,11232
id_84929,15232
id_52568,20416
id_64708,9376
id_15505,-1808
id_33441,-2096
id_90174,6144
id_44958,15232
id_33602,8128
id_7978,4352
id_9035,11008
id_19353,10544
id_43055,1136
id_67128,4160
id_78880,15408
id_48027,-6688
id_55051,17152
id_78966,13056
id_74149,12896
id_44709,17760
id_1714,7680
id_28142,18080
id_89637,12512
id_56396,2640
id_7551,11376
id_25910,3584
id_32032,17408
id_66486,5856
id_46188,8608
id_89467,-896
id_90767,17504
id_9111,7648
id_57387,6976
id_58785,1120
id_43585,30624
id_43722,3872
id_9028,16192
id_62876,6768
id_7076,4352
id_7851,81152
id_75200,5888
id_75224,3456
id_10182,7424
id_76880,7456
id_41024,10784
id_27106,-3840
id_32903,18304
id_19304,2480
id_70951,9440
id_79170,8288
id_48468,5808
id_45109,-4640
id_77497,2112
id_6408,15040
id_28961,-14176
id_71438,10688
id_14692,5344
id_7003,23968
id_10750,1808
id_70185,7488
id_47568,9760
id_22232,9344
id_58662,13248
id_63036,4432
id_41562,9840
id_39226,8096
id_77311,30400
id_19059,3280
id_35941,4432
id_62267,5136
id_74439,14848
id_55449,9696
id_89414,18816
id_33473,5056
id_54526,7296
id_63153,4640
id_67829,14592
id_48432,-4352
id_73231,9696
id_10814,-864
id_95867,4704
id_26500,7520
id_75256,5376
id_46415,5344
id_86062,6976
id_76751,9888
id_2327,21984
id_10201,18672
id_49017,17568
id_64754,-416
id_79533,896
id_21323,-5328
id_83699,3472
id_57239,6784
id_19553,6304
id_71973,10784
id_23596,13280
id_94188,7024
id_91920,10944
id_32387,8256
id_87486,2800
id_50733,21536
id_14349,7328
id_47909,10144
id_23341,15840
id_54164,3808
id_91040,3456
id_32431,12016
id_24770,-2240
id_63618,6112
id_15137,7424
id_97325,1376
id_67289,70752
id_8995,-6240
id_61910,-1280
id_81145,2880
id_38331,5120
id_92584,3984
id_25530,-768
id_58077,6688
id_70776,3392
id_70639,11008
id_23009,1632
id_34516,13856
id_85625,19168
id_47603,2480
id_86283,5664
id_59894,8224
id_62657,10912
id_62806,-896
id_34727,27584
id_33,4352
id_64631,-3104
id_39304,-2560
id_69685,12544
id_2532,3504
id_38489,12928
id_67188,8096
id_66552,-2720
id_88755,11392
id_7241,8960
id_25389,11712
id_38337,17664
id_27895,9312
id_9825,8480
id_96129,17504
id_10419,6432
id_59319,1168
id_14376,15136
id_99688,3248
id_78483,2400
id_24781,12544
id_38498,10176
id_29942,92432
id_54929,12624
id_12268,3200
id_31654,11552
id_52885,2560
id_34969,10304
id_31781,20928
id_6057,15232
id_9271,5376
id_29394,79888
id_12071,9216
id_82982,5280
id_70989,7104
id_74170,23200
id_19942,5024
id_57234,112
id_39095,2752
id_18012,-12640
id_65353,82752
id_36170,4192
id_11329,8544
id_87634,15616
id_6529,6272
id_60013,9184
id_868,3664
id_99915,-576
id_63876,1312
id_15131,13200
id_82602,10720
id_80055,5568
id_34990,4928
id_79123,8672
id_18286,-1184
id_5820,19936
id_79003,18688
id_33171,9216
id_43587,7072
id_8512,7392
id_14449,7040
id_66110,7904
id_32003,5216
id_49389,7360
id_74758,12192
id_77222,13376
id_40955,10880
id_26625,12864
id_73205,9024
id_3253,3136
id_10039,2384
id_20643,4160
id_32860,14032
id_45332,10224
id_74136,8288
id_51260,9888
id_46934,17824
id_55212,-176
id_25853,6144
id_14647,4928
id_23211,6624
id_90689,1184
id_95155,-384
id_9089,9152
id_9859,-2208
id_36312,10464
id_6987,8000
id_90028,1728
id_45859,9920
id_13362,12864
id_43771,3456
id_58493,10720
id_34321,3776
id_98266,4688
id_79818,-1856
id_21520,6624
id_75686,6624
id_25503,8624
id_89905,3632
id_88772,9472
id_24241,12448
id_17431,3296
id_95579,15008
id_30260,9744
id_97259,11680
id_68673,1024
id_6639,3232
id_20191,4640
id_62219,-2112
id_29671,-6304
id_94484,8416
id_92239,7776
id_71103,12096
id_12413,9792
id_37464,12208
id_70303,-2208
id_69899,2800
id_44468,-64
id_2642,-3168
id_46827,8576
id_30681,10608
id_32213,11536
id_42756,10400
id_41157,128
id_60759,17376
id_59238,1120
id_75223,5600
id_53188,2080
id_20188,4128
id_20858,12320
id_99239,9408
id_53480,6304
