States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total
Haryana,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,2,0,2
Haryana,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,374,7,381
Haryana,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,42,0,42
Haryana,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,18,3,21
Haryana,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,10,0,10
Haryana,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,139,2,141
Haryana,6.5 - Other Kidnapping,2014,165,2,167
Haryana,7 - Foeticide (Section 315 and 316 IPC),2014,2,0,2
Haryana,8 - Abetment of Suicide of child (Section 305 IPC),2014,2,0,2
Haryana,9 - Exposure and Abandonment (Section 317 IPC),2014,2,0,2
Haryana,10 - Procuration of minor girls (Section 366-A IPC),2014,272,0,272
Haryana,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Haryana,12 - Buying of minors for prostitution (Section 373 IPC),2014,1,1,2
Haryana,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Haryana,"14 - Prohibition of Child Marriage Act, 2006",2014,15,1,16
Haryana,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Haryana,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Haryana,16.1 - Offences committed against Migrant,2014,0,0,0
Haryana,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Haryana,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Haryana,16.1.3 - Offences committed against others migrants,2014,0,0,0
Haryana,16.2 - Offences committed against Locals,2014,0,0,0
Haryana,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Haryana,16.2.2 - Offences committed against Local STs,2014,0,0,0
Haryana,16.2.3 - Offences committed against others locals,2014,0,0,0
Haryana,"17 - Immoral Traffic (Prevention) Act, 1956",2014,2,4,6
Haryana,17.1 - Under ITP Section 5,2014,0,0,0
Haryana,17.2 - Under ITP Section 6,2014,0,0,0
Haryana,17.3 - Under ITP Section 7,2014,0,0,0
Haryana,17.4 - Under ITP Section 8,2014,0,0,0
Haryana,17.5 - Other Section of ITP Act,2014,2,4,6
Haryana,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,50,3,53
Haryana,"19 - Protection of Children from Sexual Offences Act, 2012",2014,2,0,2
Haryana,19.1 - Under PCSO Act Section 4,2014,1,0,1
Haryana,19.2 - Under PCSO Act Section 6,2014,0,0,0
Haryana,19.3 - Under PCSO Act Section 8,2014,0,0,0
Haryana,19.4 - Under PCSO Act Section 10,2014,0,0,0
Haryana,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Haryana,19.6 - Other Acts of PCSO,2014,1,0,1
Haryana,20 - Attempt to commit Murder u/s 307 IPC,2014,59,2,61
Haryana,21 - Unnatural Offences u/s 377 IPC,2014,119,0,119
Haryana,22 - Other crimes committed against children,2014,227,6,233
Haryana,23 - Total crimes against Children,2014,2004,42,2046
Himachal Pradesh,1 - Murder (Section 302 and 303 IPC),2014,9,1,10
Himachal Pradesh,2 - Infanticide (Section 315 IPC),2014,0,0,0
Himachal Pradesh,3 - Rape,2014,158,4,162
Himachal Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,65,0,65
Himachal Pradesh,4.1 - Sexual Harassment (Section 354A IPC),2014,21,0,21
Himachal Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,1,0,1
Himachal Pradesh,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Himachal Pradesh,4.4 - Stalking (Section 354D IPC),2014,18,0,18
Himachal Pradesh,4.5 - Others assault,2014,25,0,25
Himachal Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Himachal Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,88,4,92
Himachal Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,15,0,15
Himachal Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Himachal Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1
Himachal Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,59,2,61
Himachal Pradesh,6.5 - Other Kidnapping,2014,13,2,15
Himachal Pradesh,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Himachal Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),2014,2,1,3
Himachal Pradesh,9 - Exposure and Abandonment (Section 317 IPC),2014,0,2,2
Himachal Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,2,0,2
Himachal Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Himachal Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Himachal Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Himachal Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,11,7,18
Himachal Pradesh,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Himachal Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Himachal Pradesh,16.1 - Offences committed against Migrant,2014,0,0,0
Himachal Pradesh,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Himachal Pradesh,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Himachal Pradesh,16.1.3 - Offences committed against others migrants,2014,0,0,0
Himachal Pradesh,16.2 - Offences committed against Locals,2014,0,0,0
Himachal Pradesh,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Himachal Pradesh,16.2.2 - Offences committed against Local STs,2014,0,0,0
Himachal Pradesh,16.2.3 - Offences committed against others locals,2014,0,0,0
Himachal Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Himachal Pradesh,17.1 - Under ITP Section 5,2014,0,0,0
Himachal Pradesh,17.2 - Under ITP Section 6,2014,0,0,0
Himachal Pradesh,17.3 - Under ITP Section 7,2014,0,0,0
Himachal Pradesh,17.4 - Under ITP Section 8,2014,0,0,0
Himachal Pradesh,17.5 - Other Section of ITP Act,2014,0,0,0
Himachal Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,8,4,12
Himachal Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",2014,19,0,19
Himachal Pradesh,19.1 - Under PCSO Act Section 4,2014,13,0,13
Himachal Pradesh,19.2 - Under PCSO Act Section 6,2014,3,0,3
Himachal Pradesh,19.3 - Under PCSO Act Section 8,2014,2,0,2
Himachal Pradesh,19.4 - Under PCSO Act Section 10,2014,0,0,0
Himachal Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Himachal Pradesh,19.6 - Other Acts of PCSO,2014,1,0,1
Himachal Pradesh,20 - Attempt to commit Murder u/s 307 IPC,2014,0,0,0
Himachal Pradesh,21 - Unnatural Offences u/s 377 IPC,2014,11,0,11
Himachal Pradesh,22 - Other crimes committed against children,2014,6,2,8
Himachal Pradesh,23 - Total crimes against Children,2014,379,25,404
Jammu & Kashmir,1 - Murder (Section 302 and 303 IPC),2014,3,0,3
Jammu & Kashmir,2 - Infanticide (Section 315 IPC),2014,0,0,0
Jammu & Kashmir,3 - Rape,2014,37,0,37
Jammu & Kashmir,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,8,0,8
Jammu & Kashmir,4.1 - Sexual Harassment (Section 354A IPC),2014,1,0,1
Jammu & Kashmir,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Jammu & Kashmir,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Jammu & Kashmir,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Jammu & Kashmir,4.5 - Others assault,2014,7,0,7
Jammu & Kashmir,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,1,0,1
Jammu & Kashmir,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,120,2,122
Jammu & Kashmir,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,120,2,122
Jammu & Kashmir,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Jammu & Kashmir,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Jammu & Kashmir,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0
Jammu & Kashmir,6.5 - Other Kidnapping,2014,0,0,0
Jammu & Kashmir,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Jammu & Kashmir,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Jammu & Kashmir,9 - Exposure and Abandonment (Section 317 IPC),2014,3,1,4
Jammu & Kashmir,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0
Jammu & Kashmir,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Jammu & Kashmir,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Jammu & Kashmir,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Jammu & Kashmir,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Jammu & Kashmir,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Jammu & Kashmir,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Jammu & Kashmir,16.1 - Offences committed against Migrant,2014,0,0,0
Jammu & Kashmir,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Jammu & Kashmir,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Jammu & Kashmir,16.1.3 - Offences committed against others migrants,2014,0,0,0
Jammu & Kashmir,16.2 - Offences committed against Locals,2014,0,0,0
Jammu & Kashmir,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Jammu & Kashmir,16.2.2 - Offences committed against Local STs,2014,0,0,0
Jammu & Kashmir,16.2.3 - Offences committed against others locals,2014,0,0,0
Jammu & Kashmir,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Jammu & Kashmir,17.1 - Under ITP Section 5,2014,0,0,0
Jammu & Kashmir,17.2 - Under ITP Section 6,2014,0,0,0
Jammu & Kashmir,17.3 - Under ITP Section 7,2014,0,0,0
Jammu & Kashmir,17.4 - Under ITP Section 8,2014,0,0,0
Jammu & Kashmir,17.5 - Other Section of ITP Act,2014,0,0,0
Jammu & Kashmir,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Jammu & Kashmir,"19 - Protection of Children from Sexual Offences Act, 2012",2014,0,0,0
Jammu & Kashmir,19.1 - Under PCSO Act Section 4,2014,0,0,0
Jammu & Kashmir,19.2 - Under PCSO Act Section 6,2014,0,0,0
Jammu & Kashmir,19.3 - Under PCSO Act Section 8,2014,0,0,0
Jammu & Kashmir,19.4 - Under PCSO Act Section 10,2014,0,0,0
Jammu & Kashmir,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Jammu & Kashmir,19.6 - Other Acts of PCSO,2014,0,0,0
Jammu & Kashmir,20 - Attempt to commit Murder u/s 307 IPC,2014,4,0,4
Jammu & Kashmir,21 - Unnatural Offences u/s 377 IPC,2014,11,0,11
Jammu & Kashmir,22 - Other crimes committed against children,2014,0,0,0
Jammu & Kashmir,23 - Total crimes against Children,2014,187,3,190
Jharkhand,1 - Murder (Section 302 and 303 IPC),2014,5,0,5
Jharkhand,2 - Infanticide (Section 315 IPC),2014,2,0,2
Jharkhand,3 - Rape,2014,100,0,100
Jharkhand,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,3,0,3
Jharkhand,4.1 - Sexual Harassment (Section 354A IPC),2014,2,0,2
Jharkhand,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Jharkhand,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Jharkhand,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Jharkhand,4.5 - Others assault,2014,1,0,1
Jharkhand,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Jharkhand,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,92,0,92
Jharkhand,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,10,0,10
Jharkhand,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Jharkhand,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,2,0,2
Jharkhand,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,63,0,63
Jharkhand,6.5 - Other Kidnapping,2014,17,0,17
Jharkhand,7 - Foeticide (Section 315 and 316 IPC),2014,1,0,1
Jharkhand,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Jharkhand,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Jharkhand,10 - Procuration of minor girls (Section 366-A IPC),2014,17,0,17
Jharkhand,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Jharkhand,12 - Buying of minors for prostitution (Section 373 IPC),2014,4,0,4
Jharkhand,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Jharkhand,"14 - Prohibition of Child Marriage Act, 2006",2014,1,0,1
Jharkhand,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Jharkhand,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Jharkhand,16.1 - Offences committed against Migrant,2014,0,0,0
Jharkhand,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Jharkhand,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Jharkhand,16.1.3 - Offences committed against others migrants,2014,0,0,0
Jharkhand,16.2 - Offences committed against Locals,2014,0,0,0
Jharkhand,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Jharkhand,16.2.2 - Offences committed against Local STs,2014,0,0,0
Jharkhand,16.2.3 - Offences committed against others locals,2014,0,0,0
Jharkhand,"17 - Immoral Traffic (Prevention) Act, 1956",2014,1,0,1
Jharkhand,17.1 - Under ITP Section 5,2014,1,0,1
Jharkhand,17.2 - Under ITP Section 6,2014,0,0,0
Jharkhand,17.3 - Under ITP Section 7,2014,0,0,0
Jharkhand,17.4 - Under ITP Section 8,2014,0,0,0
Jharkhand,17.5 - Other Section of ITP Act,2014,0,0,0
Jharkhand,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,1,0,1
Jharkhand,"19 - Protection of Children from Sexual Offences Act, 2012",2014,33,0,33
Jharkhand,19.1 - Under PCSO Act Section 4,2014,3,0,3
Jharkhand,19.2 - Under PCSO Act Section 6,2014,2,0,2
Jharkhand,19.3 - Under PCSO Act Section 8,2014,7,0,7
Jharkhand,19.4 - Under PCSO Act Section 10,2014,0,0,0
Jharkhand,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Jharkhand,19.6 - Other Acts of PCSO,2014,21,0,21
Jharkhand,20 - Attempt to commit Murder u/s 307 IPC,2014,195,8,203
Jharkhand,21 - Unnatural Offences u/s 377 IPC,2014,9,0,9
Jharkhand,22 - Other crimes committed against children,2014,34,3,37
Jharkhand,23 - Total crimes against Children,2014,498,11,509
Karnataka,1 - Murder (Section 302 and 303 IPC),2014,92,10,102
Karnataka,2 - Infanticide (Section 315 IPC),2014,8,0,8
Karnataka,3 - Rape,2014,798,9,807
Karnataka,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,62,2,64
Karnataka,4.1 - Sexual Harassment (Section 354A IPC),2014,10,0,10
Karnataka,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,2,0,2
Karnataka,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Karnataka,4.4 - Stalking (Section 354D IPC),2014,3,0,3
Karnataka,4.5 - Others assault,2014,47,2,49
Karnataka,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Karnataka,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,703,18,721
Karnataka,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,334,6,340
Karnataka,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Karnataka,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,34,2,36
Karnataka,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,130,5,135
Karnataka,6.5 - Other Kidnapping,2014,205,5,210
Karnataka,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Karnataka,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Karnataka,9 - Exposure and Abandonment (Section 317 IPC),2014,25,12,37
Karnataka,10 - Procuration of minor girls (Section 366-A IPC),2014,55,1,56
Karnataka,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Karnataka,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Karnataka,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Karnataka,"14 - Prohibition of Child Marriage Act, 2006",2014,58,8,66
Karnataka,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Karnataka,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,4,0,4
Karnataka,16.1 - Offences committed against Migrant,2014,0,0,0
Karnataka,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Karnataka,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Karnataka,16.1.3 - Offences committed against others migrants,2014,0,0,0
Karnataka,16.2 - Offences committed against Locals,2014,4,0,4
Karnataka,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Karnataka,16.2.2 - Offences committed against Local STs,2014,0,0,0
Karnataka,16.2.3 - Offences committed against others locals,2014,4,0,4
Karnataka,"17 - Immoral Traffic (Prevention) Act, 1956",2014,11,2,13
Karnataka,17.1 - Under ITP Section 5,2014,0,0,0
Karnataka,17.2 - Under ITP Section 6,2014,0,0,0
Karnataka,17.3 - Under ITP Section 7,2014,3,2,5
Karnataka,17.4 - Under ITP Section 8,2014,0,0,0
Karnataka,17.5 - Other Section of ITP Act,2014,8,0,8
Karnataka,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,73,11,84
Karnataka,"19 - Protection of Children from Sexual Offences Act, 2012",2014,656,11,667
Karnataka,19.1 - Under PCSO Act Section 4,2014,251,8,259
Karnataka,19.2 - Under PCSO Act Section 6,2014,78,0,78
Karnataka,19.3 - Under PCSO Act Section 8,2014,69,0,69
Karnataka,19.4 - Under PCSO Act Section 10,2014,13,0,13
Karnataka,19.5 - Under PCSO Act Sections 14 & 15,2014,3,0,3
Karnataka,19.6 - Other Acts of PCSO,2014,242,3,245
Karnataka,20 - Attempt to commit Murder u/s 307 IPC,2014,345,3,348
Karnataka,21 - Unnatural Offences u/s 377 IPC,2014,3,0,3
Karnataka,22 - Other crimes committed against children,2014,463,6,469
Karnataka,23 - Total crimes against Children,2014,3356,93,3449
Kerala,1 - Murder (Section 302 and 303 IPC),2014,32,15,47
Kerala,2 - Infanticide (Section 315 IPC),2014,0,0,0
Kerala,3 - Rape,2014,836,12,848
Kerala,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,200,0,200
Kerala,4.1 - Sexual Harassment (Section 354A IPC),2014,87,0,87
Kerala,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,5,0,5
Kerala,4.3 - Voyeurism (Section 354C IPC),2014,2,0,2
Kerala,4.4 - Stalking (Section 354D IPC),2014,8,0,8
Kerala,4.5 - Others assault,2014,98,0,98
Kerala,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,2,0,2
Kerala,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,157,3,160
Kerala,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,31,0,31
Kerala,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Kerala,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Kerala,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,87,1,88
Kerala,6.5 - Other Kidnapping,2014,39,2,41
Kerala,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Kerala,8 - Abetment of Suicide of child (Section 305 IPC),2014,4,0,4
Kerala,9 - Exposure and Abandonment (Section 317 IPC),2014,2,1,3
Kerala,10 - Procuration of minor girls (Section 366-A IPC),2014,4,0,4
Kerala,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Kerala,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Kerala,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Kerala,"14 - Prohibition of Child Marriage Act, 2006",2014,34,7,41
Kerala,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Kerala,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Kerala,16.1 - Offences committed against Migrant,2014,0,0,0
Kerala,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Kerala,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Kerala,16.1.3 - Offences committed against others migrants,2014,0,0,0
Kerala,16.2 - Offences committed against Locals,2014,0,0,0
Kerala,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Kerala,16.2.2 - Offences committed against Local STs,2014,0,0,0
Kerala,16.2.3 - Offences committed against others locals,2014,0,0,0
Kerala,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Kerala,17.1 - Under ITP Section 5,2014,0,0,0
Kerala,17.2 - Under ITP Section 6,2014,0,0,0
Kerala,17.3 - Under ITP Section 7,2014,0,0,0
Kerala,17.4 - Under ITP Section 8,2014,0,0,0
Kerala,17.5 - Other Section of ITP Act,2014,0,0,0
Kerala,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,224,26,250
Kerala,"19 - Protection of Children from Sexual Offences Act, 2012",2014,433,0,433
Kerala,19.1 - Under PCSO Act Section 4,2014,102,0,102
Kerala,19.2 - Under PCSO Act Section 6,2014,4,0,4
Kerala,19.3 - Under PCSO Act Section 8,2014,163,0,163
Kerala,19.4 - Under PCSO Act Section 10,2014,28,0,28
Kerala,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Kerala,19.6 - Other Acts of PCSO,2014,136,0,136
Kerala,20 - Attempt to commit Murder u/s 307 IPC,2014,23,1,24
Kerala,21 - Unnatural Offences u/s 377 IPC,2014,111,0,111
Kerala,22 - Other crimes committed against children,2014,575,12,587
Kerala,23 - Total crimes against Children,2014,2637,77,2714
Madhya Pradesh,1 - Murder (Section 302 and 303 IPC),2014,162,11,173
Madhya Pradesh,2 - Infanticide (Section 315 IPC),2014,3,0,3
Madhya Pradesh,3 - Rape,2014,2883,32,2915
Madhya Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,2750,5,2755
Madhya Pradesh,4.1 - Sexual Harassment (Section 354A IPC),2014,1007,1,1008
Madhya Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,39,0,39
Madhya Pradesh,4.3 - Voyeurism (Section 354C IPC),2014,17,0,17
Madhya Pradesh,4.4 - Stalking (Section 354D IPC),2014,178,0,178
Madhya Pradesh,4.5 - Others assault,2014,1509,4,1513
Madhya Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,77,0,77
Madhya Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,2654,47,2701
Madhya Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,876,15,891
Madhya Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,3,0,3
Madhya Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,13,1,14
Madhya Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,1145,28,1173
Madhya Pradesh,6.5 - Other Kidnapping,2014,617,3,620
Madhya Pradesh,7 - Foeticide (Section 315 and 316 IPC),2014,6,2,8
Madhya Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),2014,7,0,7
Madhya Pradesh,9 - Exposure and Abandonment (Section 317 IPC),2014,14,17,31
Madhya Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,13,0,13
Madhya Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Madhya Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,1,0,1
Madhya Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,4,0,4
Madhya Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,47,11,58
Madhya Pradesh,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Madhya Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,4,0,4
Madhya Pradesh,16.1 - Offences committed against Migrant,2014,0,0,0
Madhya Pradesh,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Madhya Pradesh,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Madhya Pradesh,16.1.3 - Offences committed against others migrants,2014,0,0,0
Madhya Pradesh,16.2 - Offences committed against Locals,2014,4,0,4
Madhya Pradesh,16.2.1 - Offences committed against Local SCs,2014,2,0,2
Madhya Pradesh,16.2.2 - Offences committed against Local STs,2014,0,0,0
Madhya Pradesh,16.2.3 - Offences committed against others locals,2014,2,0,2
Madhya Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",2014,1,3,4
Madhya Pradesh,17.1 - Under ITP Section 5,2014,0,0,0
Madhya Pradesh,17.2 - Under ITP Section 6,2014,0,0,0
Madhya Pradesh,17.3 - Under ITP Section 7,2014,1,3,4
Madhya Pradesh,17.4 - Under ITP Section 8,2014,0,0,0
Madhya Pradesh,17.5 - Other Section of ITP Act,2014,0,0,0
Madhya Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,2,0,2
Madhya Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",2014,137,4,141
Madhya Pradesh,19.1 - Under PCSO Act Section 4,2014,42,3,45
Madhya Pradesh,19.2 - Under PCSO Act Section 6,2014,19,1,20
Madhya Pradesh,19.3 - Under PCSO Act Section 8,2014,48,0,48
Madhya Pradesh,19.4 - Under PCSO Act Section 10,2014,9,0,9
Madhya Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Madhya Pradesh,19.6 - Other Acts of PCSO,2014,19,0,19
Madhya Pradesh,20 - Attempt to commit Murder u/s 307 IPC,2014,46,0,46
Madhya Pradesh,21 - Unnatural Offences u/s 377 IPC,2014,97,0,97
Madhya Pradesh,22 - Other crimes committed against children,2014,4898,184,5082
Madhya Pradesh,23 - Total crimes against Children,2014,13806,316,14122
Maharashtra,1 - Murder (Section 302 and 303 IPC),2014,233,30,263
Maharashtra,2 - Infanticide (Section 315 IPC),2014,6,4,10
Maharashtra,3 - Rape,2014,1951,67,2018
Maharashtra,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,2336,17,2353
Maharashtra,4.1 - Sexual Harassment (Section 354A IPC),2014,1046,7,1053
Maharashtra,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,61,0,61
Maharashtra,4.3 - Voyeurism (Section 354C IPC),2014,19,0,19
Maharashtra,4.4 - Stalking (Section 354D IPC),2014,293,0,293
Maharashtra,4.5 - Others assault,2014,917,10,927
Maharashtra,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,78,0,78
Maharashtra,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,1528,114,1642
